player_id,name,team,salary,age,impact_now,years_left
1630561,David Duke Jr.,SAS,,25.0,0.43,2.6
1630567,Scottie Barnes,TOR,10130980.0,23.0,3.08,2.2
1630568,Luka Garza,MIN,2162606.0,26.0,0.52,2.8
1630570,Trendon Watford,BKN,2726603.0,24.0,1.42,2.4
1630572,Sandro Mamukelashvili,SAS,2087519.0,26.0,1.11,2.8
1630573,Sam Hauser,BOS,2092344.0,27.0,1.51,3.0
1630574,Ariel Hukporti,NYK,1064049.0,23.0,0.33,2.2
1630577,Julian Champagnie,SAS,3000000.0,24.0,1.67,2.4
1630578,Alperen Sengun,HOU,5424654.0,22.0,3.13,2.0
1630579,Jericho Sims,MIL,2092344.0,26.0,0.55,2.8
1630581,Josh Giddey,CHI,8352367.0,22.0,2.74,2.0
1630583,Santi Aldama,MEM,3960531.0,24.0,2.26,2.4
1630585,Marcus Garrett,CHA,107027.0,26.0,1.09,2.8
1630590,Scotty Pippen Jr.,MEM,2087519.0,24.0,1.7,2.4
1630591,Jalen Suggs,ORL,9188385.0,24.0,2.27,2.4
1630592,Jalen Wilson,BKN,1891857.0,24.0,1.48,2.4
1630595,Cade Cunningham,DET,13940809.0,23.0,3.64,2.2
1630596,Evan Mobley,CLE,11227657.0,24.0,3.07,2.4
1630598,Aaron Wiggins,OKC,10514017.0,26.0,1.86,2.8
1630600,Isaiah Mobley,PHI,11997.0,25.0,1.8,2.6
1630604,E.J. Liddell,CHI,706898.0,24.0,0.3,2.4
1630611,Gui Santos,GSW,1891857.0,23.0,0.82,2.2
1630618,D.J. Carton,TOR,,24.0,0.11,2.4
1630623,Tyson Etienne,BKN,,25.0,1.11,2.6
1630625,Dalano Banton,POR,2196970.0,25.0,1.23,2.6
1630631,Jose Alvarado,NOP,1988598.0,27.0,1.79,3.0
1630639,A.J. Lawson,TOR,100000.0,24.0,1.44,2.4
1630643,Jay Huff,MEM,2088033.0,27.0,1.1,3.0
1630644,Mac McClung,ORL,,26.0,0.2,2.8
1630649,Stanley Umude,MIL,,26.0,0.2,2.8
1630658,Colin Castleton,TOR,421081.0,25.0,0.95,2.6
1630658,Colin Castleton,TOR,421081.0,25.0,0.95,2.6
1630658,Colin Castleton,TOR,421081.0,25.0,0.95,2.6
1630658,Colin Castleton,TOR,421081.0,25.0,0.95,2.6
1630678,Terry Taylor,SAC,119972.0,25.0,0.1,2.6
1630692,Jordan Goodwin,LAL,223718.0,26.0,1.14,2.8
1630695,Micah Potter,UTA,,27.0,0.94,3.0
1630696,Dru Smith,MIA,,27.0,1.1,3.0
1630699,MarJon Beauchamp,NYK,2733720.0,24.0,0.35,2.4
1630700,Dyson Daniels,ATL,6059520.0,22.0,2.52,2.0
1630702,Jaden Hardy,DAL,2019699.0,22.0,1.08,2.0
1630703,Scoot Henderson,POR,10259160.0,21.0,1.82,1.7999999999999998
1630762,Phillip Wheeler,PHI,66503.0,23.0,0.38,2.2
1630811,Keaton Wallace,ATL,,26.0,0.95,2.8
1631093,Jaden Ivey,DET,7977240.0,23.0,2.31,2.2
1631094,Paolo Banchero,ORL,12160800.0,22.0,3.55,2.0
1631095,Jabari Smith Jr.,HOU,9770880.0,22.0,2.09,2.0
1631096,Chet Holmgren,OKC,10880640.0,23.0,2.57,2.2
1631097,Bennedict Mathurin,IND,7245720.0,23.0,2.19,2.2
1631098,Johnny Davis,WAS,5291160.0,23.0,0.42,2.2
1631099,Keegan Murray,SAC,8809560.0,24.0,2.26,2.4
1631101,Shaedon Sharpe,POR,6614160.0,22.0,2.47,2.0
1631102,TyTy Washington Jr.,PHX,,23.0,0.41,2.2
1631103,Malaki Branham,SAS,3217920.0,22.0,0.64,2.0
1631104,Blake Wesley,SAS,2624280.0,22.0,0.6,2.0
